Language,Stars,Watchers,OpenIssues,Size,SubscribersCount,Network count,SubLanguagesScale,Score
JavaScript,10,10,0,392,4,2,1,0
JavaScript,10,10,42,124,2,5,1,0
JavaScript,10,10,0,229,4,3,1,0
JavaScript,10,10,0,120,1,2,1,0
JavaScript,10,10,0,4177,1,2,1,293
JavaScript,10,10,0,12,8,3,1,0
JavaScript,10,10,1,22,6,5,1,149
JavaScript,10,10,6,2238,8,9,1,139
JavaScript,10,10,0,445,3,2,1,139
JavaScript,10,10,2,9,2,1,1,0
JavaScript,10,10,2,14520,12,19,1,144
JavaScript,10,10,0,184,2,2,1,0
JavaScript,10,10,3,7119,16,4,1,149
JavaScript,10,10,6,4348,4,6,1,284
JavaScript,10,10,0,764,6,10,1,0
JavaScript,10,10,0,223,7,3,1,0
JavaScript,10,10,0,932,2,2,1,147
JavaScript,10,10,1,3,1,1,1,0
JavaScript,10,10,3,434,2,7,1,0
JavaScript,10,10,0,128,1,0,1,0
JavaScript,10,10,8,452,5,9,1,0
JavaScript,10,10,1,17,1,4,1,0
JavaScript,10,10,0,192,24,2,1,0
JavaScript,10,10,0,54,2,1,1,0
JavaScript,10,10,0,107,1,3,1,139
JavaScript,10,10,0,256,5,1,1,132
JavaScript,10,10,0,150,2,0,1,0
JavaScript,10,10,1,122,3,4,1,0
JavaScript,10,10,0,228,2,2,1,139
JavaScript,10,10,0,528,3,1,1,0
JavaScript,10,10,7,21,2,3,1,0
JavaScript,10,10,0,704,4,8,1,0
JavaScript,10,10,0,7,2,0,1,0
JavaScript,10,10,0,40,1,8,1,139
JavaScript,10,10,4,156,2,0,1,0
JavaScript,10,10,0,140,1,3,1,0
JavaScript,10,10,4,35,4,6,1,0
JavaScript,10,10,0,499,4,9,1,0
JavaScript,10,10,0,46932,4,5,1,139
JavaScript,10,10,2,1212,2,4,1,0
JavaScript,10,10,0,1752,4,7,1,147
JavaScript,10,10,1,172,2,2,1,0
JavaScript,10,10,1,163,9,2,1,0
JavaScript,10,10,1,187,1,1,1,0
JavaScript,10,10,0,504,4,11,1,0
JavaScript,10,10,0,68,3,4,1,0
JavaScript,10,10,0,236,4,1,1,0
JavaScript,10,10,1,276,2,0,1,148
JavaScript,10,10,4,514,12,3,1,0
JavaScript,10,10,0,327,5,5,1,0
JavaScript,10,10,1,459,1,3,1,0
JavaScript,10,10,0,165116,5,1,1,139
JavaScript,10,10,3,1461,32,5,1,0
JavaScript,10,10,6,683,10,16,1,139
JavaScript,10,10,0,155,1,1,1,0
JavaScript,10,10,0,686,2,1,1,137
JavaScript,10,10,0,780,2,0,1,0
JavaScript,10,10,1,260,16,3,1,0
JavaScript,10,10,0,161,1,2,1,0
JavaScript,10,10,1,374,1,6,1,0
JavaScript,10,10,1,1326,7,10,1,150
JavaScript,10,10,0,127,6,2,1,0
JavaScript,10,10,0,3,3,0,1,0
JavaScript,10,10,1,4777,2,15,1,0
JavaScript,10,10,0,3184,2,0,1,0
JavaScript,10,10,1,776,5,0,1,0
JavaScript,10,10,0,8,2,2,1,0
JavaScript,10,10,1,9944,6,1,1,0
JavaScript,10,10,0,150,2,3,1,0
JavaScript,10,10,0,540,4,2,1,0
JavaScript,10,10,3,646,12,16,1,0
JavaScript,10,10,0,143,2,1,1,0
JavaScript,10,10,0,13535,4,8,1,147
JavaScript,10,10,2,1566,1,7,1,0
JavaScript,10,10,1,1251,1,2,1,0
JavaScript,10,10,1,119,1,1,1,0
JavaScript,10,10,0,113,4,8,1,0
JavaScript,10,10,0,6802,3,9,1,0
JavaScript,10,10,1,361,3,10,1,0
JavaScript,10,10,5,43,2,4,1,0
JavaScript,10,10,0,44,2,2,1,0
JavaScript,10,10,3,800,5,1,1,163
JavaScript,10,10,0,5586,6,3,1,297
JavaScript,10,10,2,529,4,4,1,139
JavaScript,10,10,11,342,2,0,1,0
JavaScript,10,10,3,192,2,9,1,139
JavaScript,10,10,0,338,3,8,1,147
JavaScript,10,10,1,1603,7,6,1,0
JavaScript,10,10,0,76963,8,4,1,139
JavaScript,10,10,0,215,10,6,1,0
JavaScript,10,10,8,573,5,4,1,0
JavaScript,10,10,2,187,2,2,1,139
JavaScript,10,10,0,110,3,1,1,0
JavaScript,10,10,0,28,2,2,1,0
JavaScript,10,10,7,3468,5,9,1,0
JavaScript,10,10,0,94,4,3,1,0
JavaScript,10,10,0,176,3,0,1,0
JavaScript,10,10,1,326,2,2,1,0
JavaScript,10,10,1,32,1,2,1,0
JavaScript,10,10,0,1288,3,1,1,163
JavaScript,10,10,12,806,3,3,1,147
JavaScript,10,10,0,304,5,7,1,163
JavaScript,10,10,0,4863,4,3,1,0
JavaScript,10,10,7,17799,3,3,1,304
JavaScript,10,10,0,331,1,1,1,0
JavaScript,10,10,12,5986,3,1,1,139
JavaScript,10,10,10,5499,0,4,1,310
JavaScript,10,10,0,3232,3,19,1,0
JavaScript,10,10,0,70353,3,12,1,600
JavaScript,10,10,2,119,2,2,1,134
JavaScript,10,10,0,1551,1,0,1,0
JavaScript,10,10,2,3420,2,1,1,0
JavaScript,10,10,0,236,3,3,1,0
JavaScript,10,10,11,2864,6,3,1,296
JavaScript,10,10,0,482,5,4,1,0
JavaScript,10,10,0,20527,67,4,1,0
JavaScript,10,10,0,1075,1,2,1,0
JavaScript,10,10,0,108,2,1,1,0
JavaScript,10,10,0,2179,1,4,1,0
JavaScript,10,10,7,95,2,3,1,0
JavaScript,10,10,1,124,1,0,1,0
JavaScript,10,10,1,124,1,2,1,0
JavaScript,10,10,0,101,3,0,1,0
JavaScript,10,10,1,130,4,1,1,0
JavaScript,10,10,2,617,1,2,1,0
JavaScript,10,10,0,11522,2,0,1,132
JavaScript,10,10,0,132,1,3,1,0
JavaScript,10,10,0,98,1,1,1,0
JavaScript,10,10,0,164,1,0,1,0
JavaScript,10,10,6,4244,3,2,1,145
JavaScript,10,10,0,96073,5,2,1,165
JavaScript,10,10,0,186,2,5,1,0
JavaScript,10,10,7,7263,1,3,1,0
JavaScript,10,10,6,3328,6,10,1,0
JavaScript,10,10,0,15032,2,3,1,132
JavaScript,10,10,0,536,2,0,1,0
JavaScript,10,10,2,112,4,2,1,0
JavaScript,10,10,2,658,8,8,1,0
JavaScript,10,10,0,196,2,4,1,0
JavaScript,10,10,0,212,1,0,1,0
JavaScript,10,10,2,55,5,6,1,0
JavaScript,10,10,0,5178,6,13,1,132
JavaScript,10,10,0,8192,6,4,1,300
JavaScript,10,10,3,750,8,5,1,139
JavaScript,10,10,0,132,3,1,1,0
JavaScript,10,10,0,169,2,2,1,0
JavaScript,10,10,0,132,2,1,1,0
JavaScript,10,10,0,1424,4,1,1,312
JavaScript,10,10,0,1992,4,4,1,150
JavaScript,10,10,3,168,2,9,1,0
JavaScript,10,10,1,117,4,4,1,0
JavaScript,10,10,10,711,23,9,1,139
JavaScript,10,10,1,135,3,3,1,0
JavaScript,10,10,0,1230,5,7,1,150
JavaScript,10,10,0,66266,6,6,1,141
JavaScript,10,10,3,1617,3,8,1,150
JavaScript,10,10,0,89,4,8,1,0
JavaScript,10,10,2,112,5,7,1,0
JavaScript,10,10,29,14069,6,3,1,147
JavaScript,10,10,0,504,3,2,1,0
JavaScript,10,10,0,126,2,8,1,0
JavaScript,10,10,0,112,2,2,1,0
JavaScript,10,10,0,484,5,13,1,0
JavaScript,10,10,3,184,2,5,1,0
JavaScript,10,10,1,5372,3,3,1,0
JavaScript,10,10,1,133,2,3,1,0
JavaScript,10,10,8,220,2,0,1,0
JavaScript,10,10,0,201,1,5,1,0
JavaScript,10,10,7,4041,9,0,1,139
JavaScript,10,10,3,1328,96,7,1,0
JavaScript,10,10,0,278,4,9,1,0
JavaScript,10,10,4,1026,3,9,1,310
JavaScript,10,10,0,93,2,1,1,0
JavaScript,10,10,0,702,15,3,1,0
JavaScript,10,10,0,866,0,7,1,0
JavaScript,10,10,2,230,1,2,1,279
JavaScript,10,10,2,130,0,47,1,0
JavaScript,10,10,0,618,1,0,1,0
JavaScript,10,10,0,840,3,81,1,0
JavaScript,10,10,1,118,1,1,1,0
JavaScript,10,10,1,96,2,1,1,0
JavaScript,10,10,0,1321,15,5,1,0
JavaScript,10,10,0,152,1,1,1,0
JavaScript,10,10,0,384,3,3,1,0
JavaScript,10,10,2,1484,3,6,1,132
JavaScript,10,10,2,124,2,16,1,0
JavaScript,10,10,0,547,1,2,1,0
JavaScript,10,10,0,192,4,5,1,0
JavaScript,10,10,7,5350,1,1,1,0
JavaScript,10,10,19,80363,3,2,1,279
JavaScript,10,10,0,2544,2,5,1,0
JavaScript,10,10,0,114105,7,5,1,597
JavaScript,10,10,8,177,0,2,1,0
JavaScript,10,10,0,452,3,0,1,0
JavaScript,10,10,1,85,1,3,1,0
JavaScript,10,10,1,103,1,0,1,0
JavaScript,10,10,0,104,4,1,1,0
JavaScript,10,10,0,249,3,1,1,0
JavaScript,10,10,2,185,1,5,1,0
JavaScript,10,10,0,100,1,0,1,0
JavaScript,10,10,0,6802,3,9,1,0
JavaScript,10,10,0,89,4,8,1,0
JavaScript,10,10,0,484,5,13,1,0
JavaScript,10,10,3,168,2,9,1,0
JavaScript,10,10,0,1230,5,7,1,150
JavaScript,10,10,2,112,5,7,1,0
JavaScript,10,10,0,126,2,8,1,0
JavaScript,10,10,0,212,1,5,1,0
JavaScript,10,10,2,243,3,4,1,0
JavaScript,10,10,0,102,1,5,1,0
JavaScript,10,10,0,170,2,4,1,0
JavaScript,10,10,3,800,5,1,1,163
JavaScript,10,10,0,44,2,2,1,0
JavaScript,10,10,8,220,2,0,1,0
JavaScript,10,10,1,133,2,3,1,0
JavaScript,10,10,1,9944,6,1,1,0
JavaScript,10,10,1,375,0,3,1,0
JavaScript,10,10,0,213,2,4,1,0
JavaScript,10,10,0,99,1,3,1,0
JavaScript,10,10,0,6806,2,1,1,147
JavaScript,10,10,0,272,10,6,1,310
JavaScript,10,10,1,260,2,9,1,0
JavaScript,10,10,0,388,2,0,1,0
JavaScript,10,10,0,205,4,4,1,163
JavaScript,10,10,0,148,1,1,1,0
JavaScript,10,10,0,272,2,0,1,0
JavaScript,10,10,13,516,4,5,1,0
JavaScript,10,10,0,137,2,4,1,0
JavaScript,10,10,2,145,2,2,1,0
JavaScript,10,10,0,131,1,2,1,0
JavaScript,10,10,0,236,2,1,1,0
JavaScript,10,10,3,171,2,3,1,0
JavaScript,10,10,0,152,1,2,1,0
JavaScript,10,10,0,99,1,3,1,0
JavaScript,10,10,0,135,1,2,1,0
JavaScript,10,10,0,148,9,1,1,0
JavaScript,10,10,1,142,1,2,1,0
JavaScript,10,10,0,85,1,2,1,0
JavaScript,10,10,0,136,1,3,1,0
JavaScript,10,10,6,10660,1,0,1,161
JavaScript,10,10,0,108,3,2,1,0
JavaScript,10,10,0,232,1,5,1,297
JavaScript,10,10,0,112,1,1,1,0
JavaScript,10,10,0,173,2,4,1,0
JavaScript,10,10,0,102,3,7,1,0
JavaScript,10,10,0,125,1,4,1,0
JavaScript,10,10,0,1903,5,2,1,162
JavaScript,10,10,0,608,1,3,1,458
JavaScript,10,10,4,107,1,5,1,0
JavaScript,10,10,4,1026,3,9,1,310
JavaScript,10,10,0,278,4,9,1,0
JavaScript,10,10,1,824,1,18,1,0
JavaScript,10,10,0,201,1,5,1,0
JavaScript,10,10,3,1328,96,7,1,0
JavaScript,10,10,0,8,1,0,1,0
JavaScript,10,10,0,323,1,13,1,0
JavaScript,10,10,0,157,2,10,1,0
JavaScript,10,10,0,591,1,0,1,165
JavaScript,10,10,7,4041,9,0,1,139
JavaScript,10,10,0,849,1,3,1,0
JavaScript,10,10,0,104,4,1,1,0
JavaScript,10,10,2,185,1,5,1,0
JavaScript,10,10,3,42243,7,6,1,0
JavaScript,10,10,0,587,2,5,1,162
JavaScript,10,10,1,1046,2,5,1,0
JavaScript,10,10,0,12001,4,1,1,0
JavaScript,10,10,1,4058,2,6,1,145
JavaScript,10,10,0,34741,2,4,1,0
JavaScript,10,10,1,119,1,0,1,0
JavaScript,10,10,0,147,1,1,1,0
JavaScript,10,10,0,25863,2,2,1,0
JavaScript,10,10,0,93,2,3,1,0
JavaScript,10,10,0,478,9,1,1,0
JavaScript,10,10,0,233,2,2,1,0
JavaScript,10,10,0,172,2,1,1,0
JavaScript,10,10,1,261,2,2,1,0
JavaScript,10,10,0,1180,2,2,1,0
JavaScript,10,10,0,77,3,1,1,0
JavaScript,10,10,0,2867,11,1,1,132
JavaScript,10,10,0,326,2,2,1,0
JavaScript,10,10,0,345,24,0,1,0
JavaScript,10,10,6,104,3,22,1,0
JavaScript,10,10,0,283,1,4,1,0
JavaScript,10,10,0,291,1,1,1,0
JavaScript,10,10,0,100,2,0,1,0
JavaScript,10,10,3,21,1,7,1,0
JavaScript,10,10,1,423,3,5,1,0
JavaScript,10,10,0,2381,1,1,1,165
JavaScript,10,10,3,145870,3,6,1,0
JavaScript,10,10,2,185,2,3,1,0
JavaScript,10,10,2,719,3,3,1,149
JavaScript,10,10,0,1248,2,1,1,0
JavaScript,10,10,1,8448,46,5,1,0
JavaScript,10,10,0,6717,2,5,1,0
JavaScript,10,10,0,163,2,3,1,0
JavaScript,10,10,2,216,2,3,1,0
JavaScript,10,10,0,130,2,2,1,0
JavaScript,10,10,0,1704,1,2,1,0
JavaScript,10,10,0,208,3,0,1,0
JavaScript,10,10,1,253,3,2,1,0
JavaScript,10,10,0,77,3,1,1,0
JavaScript,10,10,0,2867,11,1,1,132
JavaScript,10,10,0,326,2,2,1,0
JavaScript,10,10,0,466,0,8,1,0
JavaScript,10,10,3,21,1,7,1,0
JavaScript,10,10,2,216,2,3,1,0
JavaScript,10,10,0,1704,1,2,1,0
JavaScript,10,10,0,291,1,1,1,0
JavaScript,10,10,0,283,1,4,1,0
JavaScript,10,10,0,345,24,0,1,0
JavaScript,10,10,3,10897,4,7,1,139
JavaScript,10,10,0,100,2,0,1,0
JavaScript,10,10,0,2381,1,1,1,165
JavaScript,10,10,0,6717,2,5,1,0
JavaScript,10,10,2,185,2,3,1,0
JavaScript,10,10,0,1248,2,1,1,0
JavaScript,10,10,1,253,3,2,1,0
JavaScript,10,10,0,208,3,0,1,0
JavaScript,10,10,0,9271,3,2,1,0
JavaScript,10,10,0,94,3,2,1,0
JavaScript,10,10,0,163,2,3,1,0
JavaScript,10,10,0,130,2,2,1,0
JavaScript,10,10,6,104,3,22,1,0
JavaScript,10,10,9,23855,5,2,1,141
JavaScript,10,10,0,553,2,1,1,0
JavaScript,10,10,0,17,0,0,1,0
JavaScript,10,10,0,167,4,20,1,0
JavaScript,10,10,0,2920,1,0,1,157
JavaScript,10,10,0,50,5,2,1,0
JavaScript,10,10,1,61,1,5,1,0
JavaScript,10,10,3,60,12,5,1,0
JavaScript,10,10,3,120,2,1,1,0
JavaScript,10,10,0,258,4,3,1,0
JavaScript,10,10,0,322,3,2,1,0
JavaScript,10,10,0,480,3,66,1,0
JavaScript,10,10,3,187,6,4,1,0
JavaScript,10,10,0,156,1,0,1,0
JavaScript,10,10,4,364,3,11,1,0
JavaScript,10,10,0,181,1,1,1,0
JavaScript,10,10,396,199776,5,1,1,284
JavaScript,10,10,0,123,1,2,1,0
JavaScript,10,10,0,185443,8,26,1,149
JavaScript,10,10,2,23,3,15,1,0
JavaScript,10,10,0,222,20,2,1,0
JavaScript,10,10,0,816,1,4,1,0
JavaScript,10,10,2,126,2,1,1,0
JavaScript,10,10,0,9312,3,1,1,0
JavaScript,10,10,1,734,5,3,1,147
JavaScript,10,10,1,351,1,4,1,0
JavaScript,10,10,1,821,7,5,1,139
JavaScript,10,10,8,48,3,2,1,0
JavaScript,10,10,3,13,5,1,1,0
JavaScript,10,10,1,34742,4,9,1,157
JavaScript,10,10,2,168,1,2,1,0
JavaScript,10,10,2,1490,3,2,1,0
JavaScript,10,10,0,206,2,2,1,0
JavaScript,10,10,0,10748,7,1,1,288
JavaScript,10,10,2,228,2,3,1,149
JavaScript,10,10,2,554,2,2,1,0
JavaScript,10,10,1,189,3,7,1,134
JavaScript,10,10,0,140,1,3,1,0
JavaScript,10,10,3,5898,5,4,1,139
JavaScript,10,10,0,412,2,0,1,296
JavaScript,10,10,0,262,1,4,1,0
JavaScript,10,10,1,236,7,2,1,0
JavaScript,10,10,5,1559,4,0,1,0
JavaScript,10,10,2,160,3,0,1,134
JavaScript,10,10,5,979,16,3,1,0
JavaScript,10,10,10,677,8,10,1,0
JavaScript,10,10,2,209,3,6,1,0
JavaScript,10,10,0,15880,2,0,1,0
JavaScript,10,10,0,17,4,3,1,0
JavaScript,10,10,0,1704,0,1,1,0
JavaScript,10,10,0,375,4,1,1,0
JavaScript,10,10,0,568,2,12,1,0
JavaScript,10,10,0,339,48,4,1,139
JavaScript,10,10,0,568,2,1,1,0
JavaScript,10,10,0,272,2,1,1,0
JavaScript,10,10,0,128,2,0,1,0
JavaScript,10,10,2,151,1,3,1,0
JavaScript,10,10,0,116,1,0,1,0
JavaScript,10,10,7,77,3,2,1,0
JavaScript,10,10,0,152,8,1,1,0
JavaScript,10,10,3,544,18,2,1,139
JavaScript,10,10,0,217,2,2,1,144
JavaScript,10,10,2,368,3,5,1,0
JavaScript,10,10,0,7,2,3,1,0
JavaScript,10,10,6,64,9,10,1,0
JavaScript,10,10,3,220,1,4,1,0
JavaScript,10,10,7,92,3,12,1,0
JavaScript,10,10,0,12080,5,0,1,139
JavaScript,10,10,2,120,1,1,1,0
JavaScript,10,10,0,14,3,5,1,0
JavaScript,10,10,7,13,1,8,1,0
JavaScript,10,10,0,288,2,1,1,0
JavaScript,10,10,0,5141,5,4,1,150
JavaScript,10,10,0,118,5,0,1,139
JavaScript,10,10,0,7,3,3,1,0
JavaScript,10,10,3,477,4,14,1,0
JavaScript,10,10,1,508,1,1,1,0
JavaScript,10,10,2,222,1,2,1,0
JavaScript,10,10,0,624,1,6,1,0
JavaScript,10,10,1,22,3,12,1,0
JavaScript,10,10,0,172,2,4,1,0
JavaScript,10,10,1,28910,8,6,1,0
JavaScript,10,10,0,160,1,2,1,0
JavaScript,10,10,0,948,4,2,1,0
JavaScript,10,10,1,484,1,2,1,0
JavaScript,10,10,7,312,3,7,1,139
JavaScript,10,10,0,248,3,9,1,0
JavaScript,10,10,7,153,16,6,1,139
JavaScript,10,10,0,16515,3,4,1,139
JavaScript,10,10,0,21,1,2,1,0
JavaScript,10,10,0,1320,2,2,1,0
JavaScript,10,10,1,20057,5,5,1,272
JavaScript,10,10,16,76968,8,13,1,139
JavaScript,10,10,1,14,4,6,1,0
JavaScript,10,10,1,83675,22,18,1,301
JavaScript,10,10,3,567,0,4,1,139
JavaScript,10,10,5,22,20,2,1,0
JavaScript,10,10,22,83178,18,15,1,449
JavaScript,10,10,4,42,2,9,1,139
JavaScript,10,10,1,2632,2,4,1,139
JavaScript,10,10,0,4,1,4,1,0
JavaScript,10,10,0,356,1,3,1,0
JavaScript,10,10,0,6223,3,4,1,139
JavaScript,10,10,0,328,2,2,1,0
JavaScript,10,10,0,76,1,2,1,0
JavaScript,10,10,0,190,3,1,1,139
JavaScript,10,10,0,303,1,1,1,0
JavaScript,10,10,0,146,1,1,1,0
JavaScript,10,10,0,1266,7,14,1,0
JavaScript,10,10,0,160,2,3,1,0
JavaScript,10,10,0,1642,2,1,1,306
JavaScript,10,10,0,2409,9,5,1,147
JavaScript,10,10,0,180,1,3,1,147
JavaScript,10,10,3,179,5,5,1,0
JavaScript,10,10,9,68,2,8,1,139
JavaScript,10,10,1,144,1,0,1,0
JavaScript,10,10,0,3734,6,10,1,0
