   0  1
  0  34 93
  1  14 15
  2   3  8
  3   2  7
  4  18 31
  5   2 11
  6   4 21
  7   7 27
  8  14 37
  9   0  5
  10  1  5
  11  0 24
  12  5 13
  13  8 27
  14  5 12
  15  6  7
  16  1 13
  17  8  8
  18 12 43
  19  2  4
  20  3 26
  21  3  1
  22  3  2
  23 12 11
  24  5 13
  25  2  2
  26 19 19
  27  3 15
  28  1  3
  29  5  5
  30  0  6
  31 11 25
  32  3  7
  33  0  4
  34  3  6
  35  0  7
  36  0 12
  37  2  4
  38  5  4
  39  3  7
  40  2  9
  41  2  4
  42  4 10
  43  5  3
  44  8  5
  45  1  3
  46  1  9
  47  2 10
  48  5  3
  49  4  3
  50  3  2
  51  2  3
  52  1  3
  53  2  2
  54  1  5
  55  0  4
  56  9  5
  57  1  4
  58  1  3
  59  3  2
  60  3  3
  61  3  1
  62  0  5
  63  0  4
  64  5  4
  65  3  1
